success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
,,,False,/kBb6EfqH4tEO5TkJ0S3NESqkDwb.jpg,,0.0,"[{'id': 35, 'name': 'Comedy'}]",,335456.0,tt0012202,['US'],en,Gasoline Gus,Based on the comic strip character and his auto obsessed life.,0.847,/lBRllAoo2PgtA2ZRzv3vV65roQr.jpg,"[{'id': 29729, 'logo_path': None, 'name': 'Famous Players-Lasky Corporation', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1921-08-20,0.0,50.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,Gasoline Gus,False,0.0,0.0,,,,
,,,False,/5IIFJxwRzmkhczQidIhpoaolpZY.jpg,,0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.amazon.com/dp/B0DG2NLRSB,976734.0,tt20048582,"['GB', 'US']",en,Canary Black,"Top level CIA agent Avery Graves is blackmailed by terrorists into betraying her own country to save her kidnapped husband. Cut off from her team, she turns to her underworld contacts to survive and help locate the coveted intelligence that the kidnappers want.",223.139,/hhiR6uUbTYYvKoACkdAIQPS5c6f.jpg,"[{'id': 20664, 'logo_path': '/iRrZpxnYNDnVXJkr6HiLgSLlqRc.png', 'name': 'Anton Capital Entertainment', 'origin_country': 'GB'}, {'id': 23514, 'logo_path': '/upijXK42EK54sbRf0Opse46F2lH.png', 'name': 'Sentient Entertainment', 'origin_country': 'US'}, {'id': 138946, 'logo_path': '/mBm1lOmTnMnpvYEGfdNb7X9k5Bb.png', 'name': 'Brickell & Broadbridge International', 'origin_country': 'US'}, {'id': 198301, 'logo_path': None, 'name': 'Off The Pier Productions', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2024-10-10,525704.0,103.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,This mission is personal.,Canary Black,False,6.357,291.0,,,,
,,,False,,,0.0,[],,681493.0,,['DE'],de,Eure Mütter - Ich find' ja die Alten geil.,,0.01,/criaK4Km3RD4rnlh4p54qF4kLsj.jpg,[],[],2018-11-23,0.0,0.0,"[{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,,Eure Mütter - Ich find' ja die Alten geil.,False,0.0,0.0,,,,
,,,False,/3eK23kPOgmPDN8PTjZYa43bak2a.jpg,,0.0,"[{'id': 12, 'name': 'Adventure'}]",,288155.0,tt0113213,['US'],en,The Great Elephant Escape,"Two young boys help an elephant escape from an African animal orphanage when he is bought by a wealthy American. The trio dodge poachers, the police and lions on a journey they'll never forget.",1.372,/lU9Q3WmnrjbmhA4ahaWM1GBnHxt.jpg,[],[],1995-03-25,0.0,96.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Great Elephant Escape,False,6.2,5.0,,,,
,,,False,,,0.0,[],https://vimeo.com/176340254,591246.0,tt5620396,['US'],en,Like An Egyptian,a short film with comedian Maria Shehata.,0.032,,[],[],,0.0,8.0,[],Released,,Like An Egyptian,False,0.0,0.0,,,,
,,,False,/xoyFxI9QRWqj0tnFQVH9vSE559c.jpg,,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",http://www.theguitarthemovie.com/,16890.0,tt0942891,['US'],en,The Guitar,"The life of a woman is transformed after she is diagnosed with a terminal disease, fired from her job and abandoned by her boyfriend. Given two months to live, she throws caution to the wind to pursue her dreams.",3.409,/ziFNRplx5VuteBHnUODL7pth1xi.jpg,"[{'id': 54814, 'logo_path': None, 'name': 'Breakout Pictures', 'origin_country': ''}, {'id': 3231, 'logo_path': None, 'name': 'Apple Creek Productions', 'origin_country': ''}, {'id': 18666, 'logo_path': None, 'name': 'Cold Fusion Media Group', 'origin_country': ''}, {'id': 23058, 'logo_path': None, 'name': 'Artists / Media Cooperation', 'origin_country': ''}, {'id': 54818, 'logo_path': None, 'name': 'RedGuitar', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2008-11-07,0.0,95.0,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Punjabi', 'iso_639_1': 'pa', 'name': 'ਪੰਜਾਬੀ'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,The Guitar,False,5.617,47.0,,,,
,,,False,,,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]",https://www.dementiauk.org/togetheragain/,552330.0,,"['US', 'GB']",en,Together Again,"Together Again is a three-minute film featuring a husband trying to reach his wife, who has dementia, by navigating a stormy sea. With him is another person who represents Admiral Nurses, whose specialist knowledge and skills are used to help keep families that are affected by dementia closer.",0.283,/yh2PLprRNiVRBXa8u0TjiRJQdpJ.jpg,"[{'id': 11594, 'logo_path': '/4w31g1L8zrpOuZ7s7f83qkmfOVZ.png', 'name': 'Passion Pictures', 'origin_country': 'GB'}, {'id': 109769, 'logo_path': '/unlsZeKmpnCukuZtMX2oqLyLNRO.png', 'name': 'Passion Animation Studios', 'origin_country': 'GB'}, {'id': 109770, 'logo_path': None, 'name': 'Royle Productions', 'origin_country': ''}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",2018-03-14,0.0,3.0,[],Released,,Together Again,False,0.0,0.0,,,,
,,,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",https://www.facebook.com/sletvrees,332972.0,tt3692142,['NL'],nl,Sletvrees,A documentary about slutshaming.,0.338,/kXrphJBiNznbFQVBGoRUNvHDa1m.jpg,"[{'id': 239, 'logo_path': '/96hCWEsfmTZQsoUap0CcG21qaA.png', 'name': 'VPRO', 'origin_country': 'NL'}]","[{'iso_3166_1': 'NL', 'name': 'Netherlands'}]",2013-11-14,0.0,78.0,"[{'english_name': 'Dutch', 'iso_639_1': 'nl', 'name': 'Nederlands'}]",Released,,Sletvrees,False,3.0,1.0,,,,
,,,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",https://www.facebook.com/eerstewater/,463932.0,,['ZA'],af,Eerstewater,"The film considers the complex interplay between the individual psyche, the social fabric, and the arid land which sustains life in the Karoo. Local Prince Albert residents tell of divergent lives: of devotion to caregiving beyond the bounds of family; of the philosopher farmer’s relationship with the land; of losing parts of oneself; and of friendship whilst at the mercy of a system that is failing.",0.148,/7VPlZNR2c78XHPOcML7ei468tZ4.jpg,[],"[{'iso_3166_1': 'ZA', 'name': 'South Africa'}]",2017-06-17,0.0,82.0,"[{'english_name': 'Afrikaans', 'iso_639_1': 'af', 'name': 'Afrikaans'}]",Released,First Water - In search of the wellspring - stories of the psyche,Eerstewater,False,0.0,0.0,,,,
,,,False,,,0.0,"[{'id': 10402, 'name': 'Music'}]",,46185.0,,['US'],en,Rob Thomas: Live at Red Rocks,"The Red Rocks amphitheater in Colorado provides the awe-inspiring backdrop for Rob Thomas in one of the most memorable stops on his Something to Be tour, featuring the multi-platinum recording artist performing hits from both Matchbox Twenty and his solo career.",0.391,/33uG8ALyAjLuXyCf0uqMde8VUX0.jpg,[],[],2009-06-30,0.0,95.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Rob Thomas: Live at Red Rocks,False,6.5,3.0,,,,
